Id,Start time,Completion time,Email,Name,What is your age group?,What is your marital status?,"Do you have any dependents (children, parents)","If yes, how many children?",Where do you live,Do you currently pay Zakaat?,How do you currently calculate your Zakaat if you do? (Select all that apply),How confident are you in your Zakaat calculations?,What makes calculating Zakaat difficult for you (Select all that apply),Would you use an app that tracks your savings/income and tells you when you're eligible to pay Zakaat?,What features would you like to see in a Zakaat app? (Select all that apply),How often would you want to be reminded about Zakaat obligations?,How comfortable are you with inputting financial data into a secure Islamic finance app?,Would you like to be able to directly donate to trusted charities within the app?,What Islamic finance issues or features are most important to you when using a financial app?,Would you be interested in testing or giving feedback on this app when its ready?
1,11/10/2025 11:32,11/10/2025 11:34,anonymous,,18-24,Prefer not to say,No,,Dublin,Yes,I don't calculate ;,1,Unsure what counts as assets ;Difficulty tracking savings over the year;,Yes,"Avoiding interest / Riba tools;Family/lifestyle based adjustments (e.g, married, children etc);Islamic finance learning sources;",Yearly (before due),Very comfortable ,Yes,transparency of the advise and calculation source - AI? ,Yes
2,11/10/2025 11:47,11/10/2025 11:48,anonymous,,18-24,Single,No,,Dublin 15,I'm not sure if I'm eligible ,I don't calculate ;,1,Don't know if I'm eligible ;Unsure what counts as assets ;Difficulty tracking savings over the year;I don't know where to donate;,Yes,Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Privacy & encryption of my data ;,Only when eligible ,Somewhat comfortable ,Yes,How much I should pay,Yes
3,11/10/2025 11:46,11/10/2025 11:50,anonymous,,18-24,Single,Yes,,South Dublin,No,I don't calculate ;,1,Don't know if I'm eligible ;,Yes,Zakaat eligibility tracker ;Predicting how much you need to pay ;Income & savings tracker;Charity donation options;Islamic finance learning sources;Privacy & encryption of my data ;,Monthly,Depends on security features ,Yes,making sure charities are trusted and work 100% islamically ,Yes
4,11/10/2025 12:01,11/10/2025 12:04,anonymous,,18-24,Married,No,,Dublin,Yes,Online Zakaat calculator ;,3,Confusing calculators ;Difficulty tracking savings over the year;Unsure what counts as assets ;,Yes,"Zakaat eligibility tracker ;Income & savings tracker;Islamic finance learning sources;Privacy & encryption of my data ;Family/lifestyle based adjustments (e.g, married, children etc);Avoiding interest / Riba tools;Charity donation options;Predicting how much you need to pay ;",Yearly (before due),Depends on security features ,Yes,interest,Yes
5,11/10/2025 12:06,11/10/2025 12:08,anonymous,,18-24,Single,No,,Dublin,No,I don't calculate ;,5,Don't know if I'm eligible ;,Yes,"Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Charity donation options;Privacy & encryption of my data ;Family/lifestyle based adjustments (e.g, married, children etc);",Yearly (before due),Very comfortable ,Yes,Accuracy ,Yes
6,11/10/2025 12:10,11/10/2025 12:13,anonymous,,18-24,Single,No,,Dublin,Yes,Asking local sheikh/ imam/ scholar ;,5,Unsure what counts as assets ;,Maybe,"Zakaat eligibility tracker ;Income & savings tracker;Charity donation options;Predicting how much you need to pay ;Islamic finance learning sources;Privacy & encryption of my data ;Transaparency in issuers and sponsors to know where ny data is going, no normalizing states or companies;",Only when eligible ,Depends on security features ,Yes,Adhering to the teachings of all muslim schools,Maybe
7,11/10/2025 12:24,11/10/2025 12:26,anonymous,,18-24,Single,No,,Hong Kong ,Yes,I just put a rough estimate of my income (overestimate) and derive 2.5% from it for Zakaat ;Spreadsheet/ manual notes;,3,Unsure what counts as assets ;Not sure whether living allowance by scholarships/internships counts ;,Yes,Zakaat eligibility tracker ;Income & savings tracker;Charity donation options;Avoiding interest / Riba tools;Islamic finance learning sources;Privacy & encryption of my data ;,Monthly,Very comfortable ,Yes,Making sure it is trusted and verified ,Yes
8,11/10/2025 12:29,11/10/2025 12:32,anonymous,,18-24,Married,No,,london,I'm not sure if I'm eligible ,I don't calculate ;,1,"Don't know if I'm eligible ;Unsure what counts as assets ;Difficulty tracking savings over the year;i dont know what is technically considered my money, for example if it was given to me by my parents;",Yes,Islamic finance learning sources;Privacy & encryption of my data ;Predicting how much you need to pay ;Zakaat eligibility tracker ;Avoiding interest / Riba tools;Income & savings tracker;,Yearly (before due),Somewhat comfortable ,Maybe,accuracy,Yes
9,11/10/2025 12:35,11/10/2025 12:37,anonymous,,18-24,Single,No,,Hong kong,I'm not sure if I'm eligible ,Parents pay it ;,2,Don't know if I'm eligible ;Unsure what counts as assets ;Difficulty tracking savings over the year;I don't know where to donate;Confusing calculators ;,Yes,"Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Charity donation options;Avoiding interest / Riba tools;Family/lifestyle based adjustments (e.g, married, children etc);Islamic finance learning sources;Privacy & encryption of my data ;",Yearly (before due),Somewhat comfortable ,Maybe,.,Maybe
10,11/10/2025 12:48,11/10/2025 12:50,anonymous,,Under 18 ,Single,No,,Hong Kong ,No,I don't calculate ;,5,NA;,Yes,"Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Charity donation options;Avoiding interest / Riba tools;Family/lifestyle based adjustments (e.g, married, children etc);Islamic finance learning sources;Privacy & encryption of my data ;",Monthly,Depends on security features ,Yes,Transparency and Trust,Maybe
11,11/10/2025 12:30,11/10/2025 12:54,anonymous,,18-24,Married,No,,Dublin ,Yes,I don't calculate ;,1,Don't know if I'm eligible ;Unsure what counts as assets ;Difficulty tracking savings over the year;,Yes,"Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Avoiding interest / Riba tools;Family/lifestyle based adjustments (e.g, married, children etc);Islamic finance learning sources;Privacy & encryption of my data ;",Only when eligible ,Somewhat comfortable ,Maybe,"No interest, no mandatory fees, halal investments ",Yes
12,11/10/2025 13:16,11/10/2025 13:20,anonymous,,18-24,Single,No,,Georgia,I'm not sure if I'm eligible ,I don't calculate ;,1,Don't know if I'm eligible ;,Yes,Zakaat eligibility tracker ;Income & savings tracker;Charity donation options;Avoiding interest / Riba tools;,Yearly (before due),Depends on security features ,Yes,Not sure,Yes
13,11/10/2025 13:19,11/10/2025 13:22,anonymous,,45-54,Married,Yes,1-2,Turkey ,Yes,I don't calculate ;,2,Difficulty tracking savings over the year;,No,"Islamic finance learning sources;Privacy & encryption of my data ;Family/lifestyle based adjustments (e.g, married, children etc);",Monthly,Not comfortable ,No,Khoms,Maybe
14,11/10/2025 13:48,11/10/2025 13:51,anonymous,,18-24,Single,No,,Turkey,Yes,Spreadsheet/ manual notes;,5,Unsure what counts as assets ;,Maybe,Zakaat eligibility tracker ;Predicting how much you need to pay ;Income & savings tracker;,Yearly (before due),Not comfortable ,No,Not taking interest ,No
15,11/10/2025 14:51,11/10/2025 14:53,anonymous,,18-24,Married,No,,Louth,No,I don't calculate ;,2,Unsure what counts as assets ;Don't know if I'm eligible ;,Yes,"Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Charity donation options;Avoiding interest / Riba tools;Family/lifestyle based adjustments (e.g, married, children etc);Islamic finance learning sources;Privacy & encryption of my data ;",Only when eligible ,Depends on security features ,Maybe,Accuracy ,Yes
16,11/10/2025 15:40,11/10/2025 15:43,anonymous,,18-24,Single,Yes,,Dublin ,Yes,I don't calculate ;,1,Difficulty tracking savings over the year;,Yes,"Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Charity donation options;Avoiding interest / Riba tools;Family/lifestyle based adjustments (e.g, married, children etc);Islamic finance learning sources;Privacy & encryption of my data ;",Monthly,Somewhat comfortable ,Yes,Making sure they don’t scam me ,Yes
17,11/10/2025 16:54,11/10/2025 16:56,anonymous,,18-24,Single,No,,Blanchardstown,Yes,I don't calculate ;,2,Confusing calculators ;,Yes,"Zakaat eligibility tracker ;Predicting how much you need to pay ;Family/lifestyle based adjustments (e.g, married, children etc);Privacy & encryption of my data ;",Monthly,Depends on security features ,Yes,Keep it simple,Yes
18,11/10/2025 17:40,11/10/2025 17:42,anonymous,,18-24,Single,No,,Gormanston,I'm not sure if I'm eligible ,Online Zakaat calculator ;Asking local sheikh/ imam/ scholar ;,3,Don't know if I'm eligible ;Unsure what counts as assets ;Difficulty tracking savings over the year;,Yes,Zakaat eligibility tracker ;Income & savings tracker;Privacy & encryption of my data ;Islamic finance learning sources;Avoiding interest / Riba tools;,Monthly,Depends on security features ,Maybe,Not sure,Yes
19,11/10/2025 17:43,11/10/2025 17:46,anonymous,,18-24,Single,No,,"Lusk, Co. Dublin",No,I don't calculate ;Asking local sheikh/ imam/ scholar ;,2,Don't know if I'm eligible ;,Yes,"Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Charity donation options;Avoiding interest / Riba tools;Family/lifestyle based adjustments (e.g, married, children etc);Islamic finance learning sources;Privacy & encryption of my data ;",Yearly (before due),Somewhat comfortable ,Yes,Bank halal verification. So to say verify if certain types of bank accounts at certain banks are halal,Yes
20,11/10/2025 17:46,11/10/2025 17:49,anonymous,,45-54,Married,Yes,4+,Canada,Yes,Spreadsheet/ manual notes;,3,Difficulty tracking savings over the year;,Maybe,"Income & savings tracker;Predicting how much you need to pay ;Avoiding interest / Riba tools;Family/lifestyle based adjustments (e.g, married, children etc);Privacy & encryption of my data ;",Monthly,Somewhat comfortable ,Maybe,not sure,Maybe
21,11/10/2025 17:49,11/10/2025 17:51,anonymous,,45-54,Divorced,Yes,1-2,Uk,Yes,I don't calculate ;,2,Don't know if I'm eligible ;Unsure what counts as assets ;Difficulty tracking savings over the year;I don't know where to donate;Lack of understanding ;,Yes,"Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Avoiding interest / Riba tools;Family/lifestyle based adjustments (e.g, married, children etc);",Monthly,Not comfortable ,Maybe,Halal,Maybe
22,11/10/2025 20:10,11/10/2025 20:12,anonymous,,Under 18 ,Single,No,,Balbriggan ,No,I don't calculate ;,1,My father pays mine;,Yes,"Predicting how much you need to pay ;Income & savings tracker;Zakaat eligibility tracker ;Charity donation options;Family/lifestyle based adjustments (e.g, married, children etc);",Yearly (before due),Somewhat comfortable ,Yes,"Being able to receive a loan/mortgage without ribaa to purchase a house when older, as it's too difficult to purchase outright. ",Maybe
23,11/10/2025 20:23,11/10/2025 20:27,anonymous,,Under 18 ,Single,No,,Ireland. Dublin ,Yes,I don't calculate ;,5,Nothing;,Yes,"Privacy & encryption of my data ;Islamic finance learning sources;Family/lifestyle based adjustments (e.g, married, children etc);Avoiding interest / Riba tools;Charity donation options;Predicting how much you need to pay ;Income & savings tracker;Zakaat eligibility tracker ;",Monthly,Somewhat comfortable ,Yes,Good interface ,No
24,11/10/2025 21:12,11/10/2025 21:14,anonymous,,18-24,Single,No,,Ireland ,I'm not sure if I'm eligible ,I don't calculate ;,1,Don't know if I'm eligible ;,Maybe,Zakaat eligibility tracker ;,Monthly,Not comfortable ,Yes,No comment ,Maybe
25,11/10/2025 21:57,11/10/2025 21:59,anonymous,,Under 18 ,Single,Yes,,Hansfield,I'm not sure if I'm eligible ,I don't calculate ;,1,Don't know if I'm eligible ;,Yes,"Predicting how much you need to pay ;Charity donation options;Family/lifestyle based adjustments (e.g, married, children etc);Privacy & encryption of my data ;",Only when eligible ,Not comfortable ,Yes,"Security so money doesn't get hacked, and the ensurance that the charities being donated to are actually honest",Maybe
26,11/10/2025 22:57,11/10/2025 22:59,anonymous,,18-24,Married,No,,Dublin,Yes,Online Zakaat calculator ;,3,Unsure what counts as assets ;,Yes,"Zakaat eligibility tracker ;Predicting how much you need to pay ;Avoiding interest / Riba tools;Family/lifestyle based adjustments (e.g, married, children etc);Privacy & encryption of my data ;Islamic finance learning sources;",Yearly (before due),Somewhat comfortable ,Yes,N/A,Yes
27,11/11/2025 5:18,11/11/2025 5:19,anonymous,,18-24,Single,No,,Hong Kong,I'm not sure if I'm eligible ,I don't calculate ;,2,Don't know if I'm eligible ;Unsure what counts as assets ;Difficulty tracking savings over the year;,Yes,"Income & savings tracker;Predicting how much you need to pay ;Family/lifestyle based adjustments (e.g, married, children etc);Islamic finance learning sources;Privacy & encryption of my data ;",Yearly (before due),Very comfortable ,Maybe,That they follow the shariah and are genuinely for Muslims ,Yes
28,11/11/2025 7:06,11/11/2025 7:10,anonymous,,25-34,Single,No,,Hong Kong ,I'm not sure if I'm eligible ,I don't calculate ;,1,Don't know if I'm eligible ;,No,"Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Family/lifestyle based adjustments (e.g, married, children etc);Privacy & encryption of my data ;Islamic finance learning sources;",Only when eligible ,Not comfortable ,Maybe,NA,Maybe
29,11/11/2025 8:21,11/11/2025 8:26,anonymous,,18-24,Single,No,,Stepaside D18,I'm not sure if I'm eligible ,I don't calculate ;,1,Don't know if I'm eligible ;,Maybe,Income & savings tracker;Zakaat eligibility tracker ;Avoiding interest / Riba tools;Islamic finance learning sources;,Only when eligible ,Somewhat comfortable ,Maybe,Whats considered interest and whats not,No
30,11/11/2025 15:04,11/11/2025 15:07,anonymous,,18-24,Single,Yes,,Dublin ,I'm not sure if I'm eligible ,I don't calculate ;,1,Don't know if I'm eligible ;I don't know where to donate;,Yes,Zakaat eligibility tracker ;Income & savings tracker;Charity donation options;Islamic finance learning sources;,Only when eligible ,Depends on security features ,Maybe,"No Interest (Riba-Free): Ensuring the app avoids all forms of interest in savings, loans, or investments.",Yes
31,11/11/2025 20:04,11/11/2025 20:07,anonymous,,25-34,Married,Yes,1-2,Dundrum ,Yes,Asking local sheikh/ imam/ scholar ;,3,Unsure what counts as assets ;,Maybe,Zakaat eligibility tracker ;Predicting how much you need to pay ;Charity donation options;,Yearly (before due),Depends on security features ,Yes,Y,Yes
32,11/11/2025 23:14,11/11/2025 23:17,anonymous,,25-34,Single,No,,United Kingdom,Yes,Asking local sheikh/ imam/ scholar ;,3,Don't know if I'm eligible ;Unsure what counts as assets ;Difficulty tracking savings over the year;I don't know where to donate;,Yes,"Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Charity donation options;Avoiding interest / Riba tools;Family/lifestyle based adjustments (e.g, married, children etc);Privacy & encryption of my data ;",Only when eligible ,Not comfortable ,Yes,Didn’t involve haram,Yes
33,11/12/2025 13:04,11/12/2025 13:06,anonymous,,18-24,Single,No,,"Trim, Meath",Yes,I don't calculate ;,3,Unsure what counts as assets ;Difficulty tracking savings over the year;,Yes,Islamic finance learning sources;Avoiding interest / Riba tools;Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;,Monthly,Depends on security features ,Yes,Avoiding Riba,Maybe
34,11/12/2025 23:17,11/12/2025 23:19,anonymous,,18-24,Single,No,,Dublin 15,No,I don't calculate ;,1,Don't know if I'm eligible ;Unsure what counts as assets ;Difficulty tracking savings over the year;Confusing calculators ;,Yes,"Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Charity donation options;Avoiding interest / Riba tools;Family/lifestyle based adjustments (e.g, married, children etc);Privacy & encryption of my data ;",Only when eligible ,Very comfortable ,Yes,Eligibility tracker ,Yes
35,11/13/2025 18:19,11/13/2025 18:21,anonymous,,18-24,Single,No,,Blanchardstown ,Yes,I don't calculate ;Online Zakaat calculator ;,3,Confusing calculators ;,No,Islamic finance learning sources;Charity donation options;Zakaat eligibility tracker ;,Yearly (before due),Depends on security features ,Yes,Safety,Maybe
